3112802;111;218.26;219.99;81;1;3
3112901;101;159.5;161.06;67;0;0
3113008;443;193.99;195.43;320;10;12
3113107;62;204.58;204.05;45;0;0
3113206;360;201.68;205.44;256;0;6
3113305;322;178.07;175.98;220;3;12
3113404;1148;202.93;201.18;821;11;47
3113503;130;210.48;218.27;105;1;0
3113602;93;186.3;182.67;67;1;2
3113701;289;197.42;191.72;200;1;16
3113800;36;203.67;206.65;27;0;1
3113909;180;209.1;209.2;135;0;4
3114006;182;205.9;206.17;145;2;5
3114105;174;209.08;208.96;128;4;0
3114204;311;192.73;195.31;214;2;15
3114303;400;227.21;228.61;315;1;14
3114402;212;220.06;224.21;172;1;7
3114501;275;216.73;220.13;214;6;5
3114550;129;201.79;202.96;93;2;4
3114600;70;211.03;221.13;58;0;0
3114709;47;260.17;255.08;40;0;0
3114808;57;212.08;220.2;46;1;1
3114907;46;180.21;189.86;32;0;0
3115003;46;230.0;240.7;37;0;1
3115102;261;187.83;195.42;180;1;7
3115201;59;223.73;230.82;49;0;2
3115300;554;203.72;198.06;370;5;41
3115359;74;218.35;221.26;55;0;2
3115409;56;221.23;205.51;43;2;0
3115458;165;207.01;209.96;124;2;3
3115474;100;217.35;219.54;83;2;3
3115508;267;176.42;175.88;181;4;5
3115607;19;209.26;217.01;14;1;0
3115706;107;210.4;210.24;72;3;7
3115805;99;230.63;229.98;83;0;3
3115904;35;252.93;252.99;29;1;0
3116001;92;162.79;167.22;54;3;2
3116100;243;207.35;203.9;185;5;6
3116159;262;193.95;194.84;193;3;9
3116209;38;227.12;219.48;34;0;0
3116308;60;219.54;226.23;48;1;0
3116407;78;222.16;219.54;65;0;2
3116506;107;196.0;188.43;76;1;2
3116605;435;231.17;235.53;344;3;9
3116704;123;214.57;220.11;84;0;9
3116803;146;227.6;234.88;122;1;0
3116902;51;226.07;221.37;42;0;1
3117009;114;185.38;189.53;82;0;0
3117108;100;231.62;228.53;76;1;5
3117207;35;228.3;229.89;29;0;0
3117306;359;201.77;204.26;258;10;12
3117405;70;204.23;197.12;55;0;2
3117504;333;166.98;170.38;210;1;19
3117603;71;206.27;211.31;46;0;6
3117702;208;210.44;214.04;161;4;5
3117801;125;239.54;250.91;101;0;3
3117836;154;196.04;194.02;118;4;3
3117876;108;204.01;207.01;86;0;4
3117900;113;221.52;226.62;89;1;2
3118007;666;227.92;223.76;498;11;36
3118106;97;204.97;199.64;72;0;4
3118205;90;182.15;180.63;52;0;6
3118304;1395;230.92;229.85;1028;17;62
3118403;255;214.01;216.11;184;1;9
3118502;16;275.94;271.85;15;0;1
3118601;7380;195.16;195.31;4643;145;531
3118700;147;217.41;220.08;114;0;3
3118809;348;190.73;192.57;251;3;3
3118908;119;210.7;212.91;89;1;3
3119005;45;247.14;253.25;42;0;0
3119104;352;179.14;184.51;228;10;10
3119203;153;187.47;188.73;106;0;1
3119302;408;220.42;221.16;313;0;13
3119401;1190;215.6;217.53;862;12;72
3119500;185;214.15;209.42;146;1;5
3119609;50;204.48;201.0;37;0;0
