3148004;PATOS DE MINAS;MG;792;1678;1931;0;113;131;244
3123601;ELOI MENDES;MG;87;384;398;1;69;78;148
3147303;PARAISOPOLIS;MG;17;250;270;0;141;135;276
3117108;CONCEICAO DA APARECIDA;MG;40;130;155;9;84;115;208
3114402;CARMO DO RIO CLARO;MG;60;218;311;0;134;114;248
3202801;ITAPEMIRIM;ES;327;572;709;0;182;205;387
3202009;DORES DO RIO PRETO;ES;0;107;92;0;50;45;95
3203353;MARILANDIA;ES;66;126;164;4;55;47;106
3202405;GUARAPARI;ES;747;1642;1721;0;113;138;251
3204351;RIO BANANAL;ES;97;274;236;9;171;112;292
3203700;MUNIZ FREIRE;ES;75;238;244;3;114;111;228
3152204;PORTEIRINHA;MG;257;498;642;26;154;208;388
3135100;JANAUBA;MG;641;1037;1138;55;120;158;333
3147006;PARACATU;MG;346;1221;1369;17;160;195;372
3130507;ILICINEA;MG;54;149;142;1;119;63;183
3162500;SAO JOAO DEL REI;MG;271;954;1100;0;36;36;72
3201605;CONCEICAO DA BARRA;ES;227;508;482;7;35;105;147
3152105;PONTE NOVA;MG;341;639;751;0;56;77;133
3162906;SAO JOAO NEPOMUCENO;MG;168;300;302;0;4;18;22
3127008;FRONTEIRA;MG;55;184;242;1;13;84;98
3104304;AREADO;MG;58;238;170;0;38;35;73
3162104;SAO GOTARDO;MG;403;636;681;10;96;221;327
3169703;TURMALINA;MG;162;276;269;21;179;76;276
3145000;NOVA PONTE;MG;89;199;205;2;13;20;35
3138682;LUISLANDIA;MG;18;96;125;1;38;45;84
3164704;SAO SEBASTIAO DO PARAISO;MG;360;893;1009;0;123;111;234
3204302;PRESIDENTE KENNEDY;ES;112;163;200;72;134;161;367
3200805;BAIXO GUANDU;ES;194;390;378;0;29;48;77
3200706;ATILIO VIVACQUA;ES;93;144;196;19;51;75;145
3146107;OURO PRETO;MG;349;860;1111;1;121;133;255
3137403;LAGOA DOURADA;MG;5;150;190;3;76;89;168
3138807;LUZ;MG;76;246;239;3;91;28;122
3124906;EUGENOPOLIS;MG;26;129;143;0;18;36;54
3143302;MONTES CLAROS;MG;1909;5110;6407;32;343;519;894
3124104;ESMERALDAS;MG;19;955;1258;0;402;680;1082
3129509;IBIA;MG;122;367;317;0;36;61;97
3133501;ITAPECERICA;MG;27;238;281;8;108;76;192
3115102;CASSIA;MG;89;215;228;1;34;44;79
3165537;SARZEDO;MG;130;481;528;1;9;187;197
3117801;CONCEICAO DO OUROS;MG;51;133;187;33;64;63;160
3121605;DIAMANTINA;MG;505;742;739;26;37;45;108
3127701;GOVERNADOR VALADARES;MG;2134;3463;3973;3;73;103;179
3134400;ITURAMA;MG;178;476;504;0;62;61;123
3122306;DIVINOPOLIS;MG;675;2463;2718;15;211;237;463
3143104;MONTE CARMELO;MG;237;566;649;1;34;65;100
3110905;CAMPANHA;MG;85;204;205;15;46;76;137
3169901;UBA;MG;522;1277;1376;29;150;186;365
3119302;COROMANDEL;MG;147;337;474;3;93;76;172
3150505;PIMENTA;MG;11;106;126;1;47;59;107
3145109;NOVA RESENDE;MG;68;203;244;12;144;164;320
3167707;SOBRALIA;MG;36;114;93;1;19;24;44
3147907;PASSOS;MG;431;1448;1602;2;65;144;211
3136306;JOAO PINHEIRO;MG;106;589;807;0;92;89;181
3156908;SACRAMENTO;MG;102;391;436;4;232;154;390
3132404;ITAJUBA;MG;498;1195;1304;0;202;194;396
3127404;GONCALVES;MG;0;46;56;0;38;41;79
3163805;SAO MIGUEL DO ANTA;MG;21;75;79;12;33;39;84
3103900;ARAUJOS;MG;33;108;113;0;36;10;46
3121803;DIONISIO;MG;5;86;119;0;3;10;13
3106309;BELO ORIENTE;MG;166;367;366;1;150;158;309
3141801;MINAS NOVAS;MG;107;361;462;4;185;120;309
3154606;RIBEIRAO DAS NEVES;MG;810;3861;4969;0;80;222;302
3110202;CAJURI;MG;0;57;62;0;16;27;43
3119104;CORINTO;MG;81;271;318;0;124;141;265
3117504;CONCEICAO DO MATO DENTRO;MG;78;287;349;0;39;46;85
3108909;BRASOPOLIS;MG;47;180;204;9;105;86;200
3149705;PERDIGAO;MG;83;156;144;0;53;68;121
3133758;ITAU DE MINAS;MG;61;209;210;9;51;56;116
3114105;CARMO DE MINAS;MG;32;159;167;4;47;63;114
3115359;CATAS ALTAS;MG;15;78;78;0;8;15;23
3139409;MANHUACU;MG;380;1335;1439;1;225;229;455
3302502;MAGE;RJ;721;3092;4333;10;27;28;65
3301009;CAMPOS DOS GOYTACAZES;RJ;3406;5989;7531;250;447;589;1286
3303302;NITEROI;RJ;2270;4843;5482;18;35;30;83
3304557;RIO DE JANEIRO;RJ;38497;71779;80887;352;40570;48446;89368
3160702;SANTOS DUMONT;MG;246;511;665;0;55;71;126
3101102;AIMORES;MG;107;292;321;0;56;58;114
3143203;MONTE SANTO DE MINAS;MG;128;233;316;4;53;84;141
3149309;PEDRO LEOPOLDO;MG;270;969;1060;0;100;64;164
3126703;FRANCISCO SA;MG;70;320;344;8;84;112;204
3160009;SANTO ANTONIO DO AVENTUREIRO;MG;2;40;59;0;24;34;58
3204252;PONTO BELO;ES;50;114;108;1;20;27;48
3171006;VAZANTE;MG;133;235;316;4;25;43;72
3131901;ITABIRITO;MG;266;642;752;0;77;336;413
3111200;CAMPO BELO;MG;266;599;779;1;18;75;94
3165008;SAO TIAGO;MG;48;152;138;0;7;11;18
3141108;MATOZINHOS;MG;126;599;502;0;120;92;212
3164308;SAO ROQUE DE MINAS;MG;16;76;105;11;30;41;82
